Levels,Environment,Competitive,Classes,Lab,Sports,Toilet,Sports_Competition,Students_per_class,Langugae,Timings,Meetings,Fests,Field_trips,Water,Mid_day_meal,Quality_of_food,Assessment,Region,Happiness
hard,learner,not,10,not always,06-Aug,better,never,21-30,hindi,7,half yearly,once,never,never,no,can be improved,monthly,F,8.843776142
moderate,Assessment,highly,8,yes,02-Mar,better,never,41-50,hindi,7,annually,never,twice,always,yes,excellent,never,I,8.697928463
hard,learner,not,8,no,04-May,better,sometimes,31-40,telugu,5,annually,once,never,never,yes,can be improved,monthly,J,4.971347021
easy,learner,highly,10,yes,02-Mar,hygiene,yes,31-40,english,7,half yearly,twice,never,never,yes,good,weekly,C,4.020288604
easy,Assessment,not,6,yes,04-May,better,yes,21-30,telugu,7,Quarterly,never,twice,always,yes,excellent,monthly,A,5.662681634
easy,learner,moderate,6,not always,06-Aug,better,never,21-30,telugu,5,Quarterly,once,twice,sometimes,yes,excellent,never,A,6.499161811
hard,knowledge,moderate,6,not always,04-May,hygiene,yes,41-50,english,5,annually,twice,once,never,no,excellent,weekly,H,3.693826578
moderate,Assessment,highly,8,yes,02-Mar,bad,sometimes,31-40,english,5,annually,once,never,sometimes,no,good,monthly,I,9.471527301
moderate,Assessment,highly,10,yes,02-Mar,better,yes,31-40,telugu,6,half yearly,once,never,sometimes,yes,can be improved,monthly,B,7.777516598
hard,knowledge,not,8,not always,02-Mar,better,never,31-40,telugu,5,annually,never,once,always,yes,excellent,never,K,3.242644772
easy,Assessment,highly,10,yes,06-Aug,hygiene,sometimes,21-30,english,5,half yearly,once,once,always,no,excellent,weekly,F,5.455749986
easy,Assessment,not,6,no,06-Aug,bad,never,41-50,telugu,7,annually,twice,twice,always,no,good,monthly,H,7.498226984
hard,Assessment,moderate,6,no,02-Mar,better,sometimes,41-50,telugu,7,annually,twice,never,always,yes,good,weekly,H,6.747366806
hard,learner,highly,10,yes,06-Aug,hygiene,never,21-30,hindi,7,annually,once,twice,sometimes,yes,can be improved,monthly,G,5.57657714
easy,learner,not,10,yes,02-Mar,bad,yes,21-30,telugu,7,half yearly,once,never,sometimes,no,can be improved,never,J,5.426938553
hard,Assessment,not,8,yes,04-May,bad,yes,31-40,hindi,5,Quarterly,once,never,sometimes,yes,excellent,weekly,G,3.782718557
hard,learner,highly,6,not always,02-Mar,bad,sometimes,41-50,english,7,half yearly,once,twice,always,yes,can be improved,never,H,7.289082133
easy,Assessment,not,6,no,02-Mar,hygiene,yes,21-30,hindi,6,Quarterly,twice,once,never,no,excellent,weekly,A,2.045926587
hard,Assessment,highly,10,not always,06-Aug,bad,never,41-50,hindi,7,half yearly,twice,once,always,yes,good,monthly,C,2.973321742
easy,learner,highly,6,yes,06-Aug,better,never,21-30,english,6,Quarterly,once,once,sometimes,yes,excellent,monthly,E,7.964204118
easy,learner,highly,6,not always,02-Mar,bad,never,31-40,english,5,Quarterly,never,never,never,yes,can be improved,monthly,E,6.627710724
hard,learner,highly,8,not always,06-Aug,hygiene,yes,21-30,english,7,Quarterly,never,never,always,no,can be improved,never,J,6.606291607
easy,knowledge,not,6,not always,06-Aug,bad,sometimes,41-50,hindi,7,Quarterly,once,once,sometimes,yes,can be improved,weekly,C,9.010213785
hard,learner,moderate,6,not always,02-Mar,hygiene,yes,41-50,hindi,6,Quarterly,never,never,always,no,excellent,weekly,D,8.039236173
easy,Assessment,highly,8,not always,06-Aug,bad,yes,41-50,hindi,7,annually,once,twice,sometimes,no,good,monthly,H,8.649172822
hard,Assessment,not,10,yes,04-May,hygiene,yes,41-50,telugu,7,Quarterly,once,once,never,no,can be improved,monthly,C,8.428948248
moderate,knowledge,not,10,no,06-Aug,better,yes,41-50,english,7,half yearly,twice,once,sometimes,yes,excellent,monthly,G,4.386924027
easy,knowledge,not,10,yes,06-Aug,better,yes,31-40,english,7,annually,twice,twice,always,yes,can be improved,weekly,H,6.998797645
moderate,Assessment,moderate,6,not always,06-Aug,bad,sometimes,41-50,english,7,half yearly,once,once,never,no,can be improved,never,A,1.891654573
easy,knowledge,moderate,6,not always,06-Aug,hygiene,yes,31-40,telugu,5,half yearly,never,never,never,yes,can be improved,never,H,3.084037648
easy,Assessment,moderate,6,not always,06-Aug,better,yes,31-40,english,5,half yearly,once,once,never,yes,good,monthly,I,1.051634108
easy,learner,not,6,no,06-Aug,better,yes,21-30,telugu,5,half yearly,once,never,never,no,excellent,monthly,B,2.431288359
moderate,learner,not,6,not always,06-Aug,bad,sometimes,31-40,telugu,6,annually,never,never,never,yes,excellent,never,E,5.941175119
hard,knowledge,not,6,yes,06-Aug,bad,yes,21-30,hindi,7,Quarterly,never,never,sometimes,yes,excellent,monthly,H,3.992612673
easy,knowledge,not,6,yes,06-Aug,bad,never,21-30,hindi,5,half yearly,never,once,sometimes,yes,can be improved,weekly,I,9.787978742
hard,learner,highly,10,not always,06-Aug,better,never,41-50,hindi,5,half yearly,twice,never,sometimes,no,can be improved,never,K,6.28076594
hard,knowledge,moderate,10,yes,04-May,bad,never,41-50,english,5,Quarterly,never,once,sometimes,no,can be improved,weekly,H,3.781430242
easy,learner,moderate,10,yes,02-Mar,bad,never,31-40,english,5,half yearly,twice,twice,always,yes,can be improved,weekly,D,8.911695123
hard,Assessment,moderate,6,no,04-May,bad,sometimes,21-30,telugu,7,Quarterly,twice,never,never,yes,good,weekly,K,3.27883386
hard,learner,highly,10,not always,04-May,bad,never,31-40,hindi,6,Quarterly,once,once,never,yes,good,never,H,2.930132396
easy,Assessment,not,6,not always,02-Mar,better,sometimes,21-30,telugu,5,half yearly,once,never,always,yes,excellent,monthly,B,1.310514328
hard,learner,highly,8,not always,06-Aug,bad,sometimes,21-30,telugu,5,half yearly,once,never,always,yes,excellent,monthly,H,8.664571217
hard,Assessment,highly,6,no,02-Mar,better,sometimes,41-50,english,6,Quarterly,twice,once,sometimes,no,good,monthly,D,6.071235237
hard,learner,moderate,10,yes,02-Mar,hygiene,yes,21-30,telugu,7,half yearly,twice,twice,always,no,good,weekly,D,5.166476831
hard,knowledge,highly,8,no,06-Aug,better,yes,41-50,english,6,half yearly,never,twice,always,yes,can be improved,monthly,B,9.467555509
easy,learner,not,8,not always,02-Mar,better,sometimes,31-40,english,6,Quarterly,never,never,always,no,good,weekly,A,5.260187073
hard,knowledge,not,10,not always,06-Aug,hygiene,sometimes,21-30,telugu,7,Quarterly,twice,once,always,yes,good,never,J,9.198910364
moderate,knowledge,highly,6,no,04-May,hygiene,never,31-40,english,5,annually,twice,never,always,no,can be improved,never,I,5.071404949
hard,learner,not,8,not always,04-May,better,sometimes,41-50,hindi,6,annually,once,once,always,no,can be improved,never,C,8.246559243
easy,knowledge,not,8,not always,02-Mar,better,never,21-30,english,7,annually,twice,never,sometimes,yes,good,weekly,B,4.937255734
moderate,Assessment,moderate,8,no,04-May,better,never,21-30,hindi,7,annually,never,never,never,no,good,never,K,1.525706285
easy,knowledge,moderate,6,not always,04-May,hygiene,never,21-30,english,6,Quarterly,once,twice,always,yes,good,never,F,4.361864039
moderate,knowledge,highly,6,no,02-Mar,hygiene,never,21-30,telugu,6,Quarterly,twice,never,sometimes,no,excellent,weekly,J,5.344293122
easy,learner,not,6,yes,02-Mar,hygiene,never,41-50,telugu,7,half yearly,never,twice,always,no,excellent,monthly,B,9.208007142
moderate,knowledge,highly,8,not always,06-Aug,hygiene,sometimes,41-50,english,6,half yearly,twice,twice,never,no,good,monthly,E,5.403324735
hard,Assessment,moderate,6,no,04-May,hygiene,yes,41-50,telugu,5,half yearly,never,once,always,no,can be improved,monthly,C,7.634175713
easy,knowledge,highly,10,yes,06-Aug,better,sometimes,41-50,english,5,half yearly,twice,never,sometimes,yes,can be improved,monthly,B,8.129014982
moderate,Assessment,highly,10,no,04-May,bad,yes,41-50,hindi,5,half yearly,once,once,always,no,can be improved,monthly,F,2.29906272
hard,learner,highly,10,yes,06-Aug,hygiene,yes,41-50,telugu,7,annually,twice,once,sometimes,no,excellent,weekly,B,6.807048463
moderate,learner,moderate,8,not always,04-May,better,sometimes,21-30,hindi,6,half yearly,never,never,always,yes,can be improved,monthly,H,8.960509484
hard,Assessment,moderate,10,no,04-May,bad,never,31-40,hindi,7,half yearly,once,twice,sometimes,no,good,monthly,E,5.222200581
moderate,Assessment,moderate,10,yes,02-Mar,bad,never,41-50,english,6,half yearly,twice,once,never,yes,excellent,weekly,E,4.977875163
hard,Assessment,highly,6,no,04-May,hygiene,yes,21-30,telugu,7,Quarterly,never,once,sometimes,no,excellent,monthly,H,2.284131693
moderate,learner,highly,10,not always,04-May,bad,sometimes,41-50,english,5,annually,once,never,sometimes,no,good,never,E,6.992669542
hard,Assessment,moderate,8,not always,06-Aug,better,never,21-30,telugu,6,annually,once,never,sometimes,no,excellent,weekly,F,7.931492134
moderate,knowledge,highly,10,no,06-Aug,bad,yes,31-40,english,5,annually,twice,twice,never,no,can be improved,never,G,6.816676327
easy,Assessment,moderate,8,no,04-May,better,sometimes,41-50,telugu,7,annually,never,once,never,no,excellent,weekly,F,9.923760651
moderate,Assessment,not,6,yes,02-Mar,better,yes,31-40,telugu,7,Quarterly,never,twice,never,yes,excellent,monthly,A,1.610344109
easy,knowledge,not,10,not always,06-Aug,hygiene,yes,31-40,english,7,Quarterly,never,never,never,yes,excellent,monthly,K,9.175913896
easy,learner,moderate,8,yes,04-May,hygiene,never,31-40,hindi,6,Quarterly,never,never,sometimes,no,can be improved,monthly,G,3.332594745
hard,Assessment,highly,6,yes,02-Mar,better,never,21-30,telugu,7,half yearly,twice,never,sometimes,no,can be improved,weekly,E,5.605432143
hard,Assessment,not,8,not always,02-Mar,hygiene,yes,41-50,telugu,6,Quarterly,once,twice,never,yes,good,never,I,1.046566699
easy,Assessment,not,6,no,02-Mar,bad,sometimes,41-50,english,6,Quarterly,never,never,never,no,good,weekly,I,8.626344883
hard,Assessment,not,6,not always,04-May,hygiene,sometimes,41-50,hindi,6,annually,once,once,sometimes,no,excellent,never,H,2.648998776
easy,Assessment,not,10,yes,02-Mar,better,never,41-50,english,5,Quarterly,once,never,sometimes,no,excellent,never,F,2.844462691
hard,Assessment,not,10,yes,04-May,hygiene,never,21-30,english,6,half yearly,twice,once,always,yes,can be improved,never,G,2.673677261
hard,learner,not,8,yes,02-Mar,better,yes,41-50,telugu,6,half yearly,never,twice,always,yes,excellent,weekly,C,3.71907727
hard,learner,not,10,not always,02-Mar,better,sometimes,31-40,telugu,7,half yearly,never,once,always,no,can be improved,monthly,F,9.092870011
easy,learner,moderate,8,yes,04-May,bad,sometimes,41-50,hindi,6,half yearly,twice,once,always,no,can be improved,monthly,A,1.582126672
moderate,knowledge,moderate,6,not always,02-Mar,bad,sometimes,21-30,hindi,7,Quarterly,twice,once,always,no,excellent,monthly,C,6.019243272
easy,learner,highly,10,yes,04-May,hygiene,never,41-50,english,5,annually,never,once,never,no,excellent,weekly,C,2.84271529
hard,Assessment,not,6,no,06-Aug,hygiene,never,31-40,hindi,6,annually,never,never,always,no,excellent,weekly,G,5.10554504
hard,knowledge,highly,10,yes,04-May,bad,sometimes,31-40,telugu,6,annually,twice,once,never,yes,excellent,never,J,5.344283396
easy,Assessment,moderate,8,not always,06-Aug,bad,sometimes,41-50,english,7,annually,twice,once,sometimes,yes,good,monthly,E,7.632774336
easy,knowledge,moderate,10,yes,04-May,hygiene,sometimes,41-50,telugu,5,Quarterly,twice,once,never,no,excellent,never,F,2.020619727
hard,learner,highly,6,not always,02-Mar,better,sometimes,41-50,telugu,6,half yearly,twice,twice,never,no,excellent,never,A,6.143465141
hard,learner,highly,6,not always,02-Mar,hygiene,sometimes,41-50,telugu,7,Quarterly,twice,once,never,yes,can be improved,never,E,2.792966939
easy,Assessment,not,8,not always,04-May,bad,sometimes,21-30,telugu,7,Quarterly,twice,once,always,no,can be improved,monthly,F,8.570244261
easy,Assessment,moderate,6,yes,04-May,bad,never,21-30,hindi,7,half yearly,twice,twice,always,yes,can be improved,monthly,H,5.89218995
easy,learner,highly,6,not always,02-Mar,hygiene,sometimes,31-40,telugu,7,Quarterly,never,once,sometimes,no,can be improved,monthly,J,5.360570678
easy,learner,highly,10,yes,02-Mar,bad,sometimes,41-50,english,7,half yearly,twice,twice,never,no,excellent,weekly,A,5.887067242
easy,learner,not,8,not always,06-Aug,better,never,21-30,telugu,6,Quarterly,once,twice,always,yes,can be improved,never,G,4.020294715
moderate,knowledge,not,10,no,06-Aug,bad,sometimes,21-30,telugu,5,annually,twice,twice,never,no,can be improved,never,J,4.461010318
easy,learner,not,8,not always,06-Aug,hygiene,yes,41-50,telugu,6,Quarterly,twice,never,always,no,good,never,F,4.687765138
moderate,knowledge,moderate,6,yes,06-Aug,better,yes,21-30,hindi,5,half yearly,twice,never,always,no,can be improved,never,K,1.356705431
hard,knowledge,highly,6,yes,04-May,better,never,41-50,english,6,half yearly,twice,twice,sometimes,yes,excellent,monthly,F,3.662062795
easy,knowledge,not,6,not always,02-Mar,bad,never,41-50,telugu,6,half yearly,never,twice,always,no,excellent,never,F,7.55025918
moderate,learner,moderate,10,no,04-May,hygiene,yes,41-50,telugu,5,annually,once,twice,sometimes,no,excellent,weekly,F,5.392148879
easy,learner,moderate,10,not always,04-May,bad,sometimes,31-40,hindi,7,Quarterly,never,twice,always,yes,good,weekly,K,6.939523694
hard,Assessment,moderate,6,no,04-May,better,sometimes,31-40,english,5,Quarterly,never,once,sometimes,no,good,never,J,5.989013068
easy,knowledge,not,10,no,06-Aug,bad,yes,31-40,english,6,half yearly,once,once,always,no,can be improved,monthly,H,2.964867383
hard,knowledge,highly,10,yes,04-May,better,yes,41-50,english,5,half yearly,never,twice,always,yes,can be improved,monthly,G,7.310114563
easy,knowledge,not,10,no,06-Aug,bad,never,41-50,english,6,annually,once,twice,never,yes,excellent,weekly,I,8.657562391
moderate,learner,highly,6,no,06-Aug,hygiene,sometimes,41-50,english,7,annually,once,once,always,no,good,weekly,H,4.38437096
moderate,Assessment,moderate,6,not always,06-Aug,better,never,31-40,hindi,6,half yearly,twice,never,sometimes,no,excellent,monthly,E,4.853541162
hard,knowledge,highly,10,not always,02-Mar,bad,sometimes,41-50,telugu,5,half yearly,twice,never,never,yes,good,never,D,8.613005022
moderate,Assessment,highly,6,yes,04-May,bad,yes,31-40,english,6,Quarterly,once,twice,never,no,excellent,monthly,E,8.383119536
easy,knowledge,not,10,no,06-Aug,better,sometimes,31-40,english,5,annually,once,once,always,no,excellent,monthly,B,8.720863758
hard,knowledge,not,6,not always,06-Aug,better,sometimes,31-40,english,5,Quarterly,once,twice,sometimes,no,can be improved,never,F,5.186145658
easy,Assessment,not,8,yes,04-May,hygiene,yes,41-50,english,5,Quarterly,twice,never,never,yes,good,weekly,I,8.635079666
moderate,Assessment,highly,6,not always,06-Aug,better,sometimes,21-30,english,7,annually,never,twice,sometimes,no,good,weekly,J,9.831793903
easy,knowledge,highly,8,no,04-May,better,yes,41-50,english,7,half yearly,once,once,never,yes,excellent,weekly,I,4.75614799
moderate,learner,not,10,not always,04-May,hygiene,sometimes,31-40,english,5,half yearly,never,twice,sometimes,no,can be improved,monthly,D,8.175308504
moderate,Assessment,moderate,8,not always,04-May,hygiene,sometimes,21-30,english,7,Quarterly,once,twice,always,yes,good,monthly,F,1.382299292
moderate,Assessment,not,6,yes,04-May,hygiene,never,31-40,telugu,6,Quarterly,twice,never,sometimes,no,good,never,J,8.274461279
easy,learner,moderate,10,not always,04-May,hygiene,never,21-30,english,6,annually,twice,once,never,no,can be improved,never,F,5.497348369
easy,Assessment,not,8,not always,02-Mar,hygiene,never,31-40,english,6,Quarterly,never,twice,never,no,good,monthly,E,3.891215299
moderate,learner,moderate,8,not always,02-Mar,better,yes,31-40,telugu,6,Quarterly,once,twice,never,no,can be improved,never,G,3.936524631
easy,learner,not,6,no,04-May,hygiene,never,21-30,telugu,7,half yearly,never,twice,always,yes,can be improved,monthly,K,8.803831063
moderate,Assessment,not,6,no,04-May,better,never,21-30,english,6,annually,never,once,always,yes,excellent,weekly,C,1.1427985
easy,learner,moderate,6,no,06-Aug,hygiene,sometimes,41-50,hindi,6,Quarterly,never,never,always,yes,good,monthly,E,1.429456696
hard,Assessment,highly,8,not always,04-May,hygiene,never,41-50,telugu,5,annually,once,never,never,yes,good,weekly,F,1.252558022
easy,knowledge,not,6,not always,06-Aug,hygiene,yes,21-30,telugu,6,half yearly,once,twice,always,no,good,never,I,1.359307897
easy,Assessment,not,10,not always,06-Aug,hygiene,yes,41-50,hindi,5,annually,twice,once,always,no,good,weekly,G,1.495115176
moderate,knowledge,not,8,no,04-May,hygiene,never,41-50,telugu,5,half yearly,twice,once,sometimes,no,can be improved,monthly,J,2.507053802
moderate,Assessment,not,6,yes,04-May,hygiene,never,41-50,hindi,7,annually,once,never,sometimes,yes,excellent,never,E,3.067395493
moderate,learner,moderate,10,yes,06-Aug,hygiene,sometimes,41-50,telugu,6,annually,twice,twice,never,yes,good,weekly,I,6.603745343
easy,Assessment,highly,6,yes,04-May,hygiene,never,41-50,english,6,annually,once,never,always,yes,can be improved,monthly,K,8.017238767
moderate,knowledge,not,10,not always,02-Mar,bad,sometimes,41-50,hindi,5,annually,twice,once,always,yes,can be improved,never,E,2.729145445
moderate,knowledge,highly,10,yes,04-May,hygiene,never,21-30,english,5,half yearly,twice,never,never,yes,excellent,weekly,G,8.334192756
easy,knowledge,highly,8,no,04-May,bad,never,41-50,english,6,half yearly,once,twice,always,no,can be improved,weekly,H,4.488491137
moderate,knowledge,moderate,10,no,02-Mar,better,yes,31-40,english,5,half yearly,once,twice,always,no,excellent,weekly,G,7.843118661
moderate,learner,moderate,10,no,06-Aug,better,sometimes,31-40,hindi,7,half yearly,never,never,always,no,excellent,weekly,D,1.440525179
hard,knowledge,moderate,6,not always,04-May,hygiene,yes,31-40,hindi,7,Quarterly,twice,twice,sometimes,yes,excellent,monthly,G,1.715394906
moderate,Assessment,highly,6,not always,06-Aug,hygiene,sometimes,41-50,english,5,Quarterly,twice,twice,sometimes,no,excellent,weekly,K,3.155980799
moderate,knowledge,highly,10,yes,02-Mar,hygiene,never,21-30,english,5,annually,never,twice,always,yes,can be improved,weekly,G,3.660468522
hard,knowledge,moderate,10,yes,04-May,bad,never,21-30,hindi,5,Quarterly,never,once,always,yes,good,never,G,5.909381149
hard,knowledge,highly,10,yes,04-May,hygiene,yes,31-40,telugu,5,half yearly,twice,never,never,yes,good,never,H,4.340301382
moderate,Assessment,not,6,yes,02-Mar,hygiene,sometimes,41-50,hindi,6,Quarterly,once,once,never,yes,good,never,F,1.481164222
moderate,Assessment,highly,10,no,06-Aug,better,sometimes,31-40,hindi,5,annually,twice,never,always,yes,excellent,weekly,H,5.822883106
moderate,learner,moderate,8,yes,06-Aug,bad,sometimes,41-50,telugu,7,Quarterly,once,never,sometimes,yes,good,never,D,1.931945356
hard,knowledge,highly,8,no,02-Mar,hygiene,never,41-50,english,6,half yearly,never,once,always,yes,good,never,G,6.738738989
hard,knowledge,highly,6,no,04-May,better,sometimes,31-40,hindi,7,Quarterly,twice,once,sometimes,yes,can be improved,never,B,4.157117046
hard,Assessment,not,6,no,06-Aug,bad,yes,41-50,english,7,Quarterly,never,twice,never,yes,excellent,never,G,9.47426133
easy,knowledge,not,6,yes,04-May,hygiene,yes,21-30,english,5,Quarterly,twice,once,sometimes,yes,excellent,never,F,5.99429676
hard,knowledge,highly,10,not always,02-Mar,bad,sometimes,31-40,hindi,6,annually,twice,twice,never,yes,excellent,weekly,C,3.652034983
easy,Assessment,moderate,6,no,02-Mar,bad,yes,31-40,telugu,6,half yearly,twice,once,sometimes,yes,excellent,weekly,H,4.909112571
hard,knowledge,moderate,6,no,06-Aug,hygiene,sometimes,21-30,english,7,Quarterly,never,twice,never,no,good,monthly,A,5.8803944
hard,learner,not,8,no,04-May,hygiene,yes,21-30,telugu,7,annually,once,never,always,no,can be improved,monthly,A,4.707642497
easy,Assessment,moderate,8,yes,04-May,bad,never,21-30,hindi,7,half yearly,twice,never,never,no,can be improved,never,C,7.117642326
hard,learner,not,6,no,02-Mar,bad,yes,21-30,telugu,7,Quarterly,never,never,never,yes,can be improved,never,G,7.647661209
moderate,Assessment,not,6,not always,02-Mar,hygiene,sometimes,41-50,hindi,7,Quarterly,twice,twice,always,no,good,monthly,J,4.843640839
hard,knowledge,not,6,not always,04-May,better,yes,41-50,hindi,5,half yearly,never,never,sometimes,no,excellent,weekly,B,7.385386269
moderate,Assessment,not,8,not always,06-Aug,hygiene,sometimes,21-30,english,6,Quarterly,twice,never,sometimes,yes,good,monthly,K,7.155870898
moderate,Assessment,highly,10,not always,06-Aug,hygiene,never,21-30,english,6,Quarterly,twice,never,sometimes,yes,good,never,A,5.899947632
easy,knowledge,moderate,6,no,02-Mar,hygiene,yes,21-30,english,6,Quarterly,once,twice,sometimes,yes,good,weekly,G,5.812757952
easy,knowledge,not,10,not always,04-May,hygiene,yes,21-30,telugu,7,Quarterly,once,never,sometimes,yes,good,monthly,G,5.397984366
moderate,knowledge,highly,8,not always,04-May,hygiene,never,41-50,telugu,5,annually,once,never,never,yes,good,never,A,5.935956113
hard,knowledge,highly,8,not always,04-May,better,sometimes,21-30,telugu,5,half yearly,once,once,never,no,excellent,never,I,5.551446647
moderate,learner,highly,6,not always,02-Mar,hygiene,yes,21-30,telugu,5,annually,once,once,sometimes,yes,good,monthly,F,9.026883494
moderate,knowledge,highly,10,no,04-May,bad,yes,21-30,english,6,annually,once,once,always,yes,good,monthly,I,6.534781268
easy,knowledge,not,8,not always,02-Mar,bad,never,21-30,hindi,5,Quarterly,never,twice,never,yes,excellent,weekly,H,7.017147936
easy,knowledge,moderate,10,no,06-Aug,better,sometimes,31-40,telugu,5,annually,never,once,always,yes,good,weekly,E,2.546547579
moderate,learner,not,6,yes,02-Mar,bad,never,41-50,english,6,Quarterly,once,never,sometimes,yes,excellent,never,D,2.293702629
moderate,Assessment,not,8,yes,02-Mar,better,sometimes,31-40,hindi,7,half yearly,twice,once,never,yes,good,monthly,H,1.483315198
moderate,knowledge,moderate,10,no,04-May,hygiene,yes,41-50,hindi,5,annually,never,never,never,yes,can be improved,never,H,1.767312553
hard,knowledge,highly,8,not always,06-Aug,hygiene,yes,31-40,hindi,5,annually,twice,never,sometimes,yes,can be improved,weekly,K,3.43276145
hard,knowledge,moderate,10,yes,06-Aug,better,yes,41-50,english,7,Quarterly,twice,never,never,no,excellent,never,B,2.648897316
hard,knowledge,highly,6,yes,04-May,bad,never,41-50,english,5,half yearly,never,never,sometimes,no,excellent,never,F,9.968907739
moderate,knowledge,highly,8,yes,04-May,hygiene,never,21-30,hindi,5,half yearly,twice,twice,sometimes,no,good,monthly,H,4.812845087
moderate,Assessment,moderate,6,yes,02-Mar,better,sometimes,41-50,telugu,7,half yearly,never,never,never,yes,excellent,monthly,I,5.695560317
hard,Assessment,moderate,10,not always,04-May,hygiene,sometimes,21-30,telugu,5,half yearly,once,once,sometimes,no,good,monthly,C,4.768880951
moderate,Assessment,highly,10,yes,02-Mar,better,yes,31-40,hindi,5,annually,once,twice,never,no,good,never,C,6.622844857
moderate,Assessment,not,10,not always,06-Aug,bad,yes,21-30,hindi,7,half yearly,twice,once,always,yes,good,never,B,1.150674281
moderate,knowledge,moderate,8,yes,04-May,hygiene,never,31-40,hindi,6,Quarterly,once,once,never,no,can be improved,monthly,E,2.3300505
moderate,Assessment,not,8,not always,04-May,hygiene,sometimes,41-50,english,6,annually,once,twice,never,yes,excellent,weekly,J,9.633004697
easy,knowledge,highly,8,yes,02-Mar,hygiene,sometimes,41-50,english,7,Quarterly,never,never,sometimes,no,excellent,weekly,F,2.200366891
easy,Assessment,moderate,6,no,04-May,hygiene,yes,21-30,english,6,half yearly,never,once,always,no,can be improved,weekly,H,2.685211774
easy,learner,moderate,10,no,02-Mar,bad,yes,41-50,english,5,half yearly,once,twice,sometimes,yes,can be improved,monthly,H,6.815273562
hard,learner,moderate,6,no,06-Aug,hygiene,sometimes,31-40,english,6,annually,twice,never,always,no,good,monthly,H,2.501158051
easy,knowledge,highly,6,no,04-May,bad,never,31-40,hindi,6,Quarterly,never,never,sometimes,yes,excellent,weekly,A,5.866193071
moderate,Assessment,not,6,no,06-Aug,hygiene,yes,31-40,telugu,7,Quarterly,once,once,never,yes,can be improved,never,H,6.6659531
easy,learner,moderate,10,yes,04-May,better,sometimes,41-50,english,6,Quarterly,never,twice,always,yes,excellent,never,D,6.818751953
hard,learner,not,8,no,04-May,better,yes,41-50,telugu,7,half yearly,twice,never,never,yes,good,never,A,9.703589599
hard,knowledge,moderate,10,no,02-Mar,hygiene,never,41-50,english,5,annually,once,twice,always,yes,can be improved,weekly,C,9.799552473
hard,Assessment,moderate,8,not always,02-Mar,better,never,31-40,english,5,annually,once,never,always,yes,can be improved,never,H,7.217781969
hard,knowledge,highly,10,no,04-May,hygiene,never,21-30,telugu,7,annually,twice,twice,never,no,good,weekly,B,5.733019228
hard,knowledge,highly,10,no,02-Mar,bad,never,41-50,english,5,annually,twice,twice,always,no,excellent,monthly,G,5.421000361
easy,learner,not,10,no,02-Mar,hygiene,never,21-30,english,6,Quarterly,twice,never,sometimes,no,good,weekly,J,8.214781804
moderate,knowledge,moderate,8,yes,06-Aug,better,yes,21-30,english,5,annually,twice,never,never,no,excellent,never,D,4.856601668
moderate,Assessment,not,10,not always,06-Aug,bad,yes,31-40,english,7,Quarterly,never,never,sometimes,no,can be improved,never,C,4.268511086
easy,Assessment,highly,10,no,02-Mar,better,yes,41-50,english,6,annually,twice,once,never,yes,excellent,monthly,E,4.303341792
moderate,knowledge,highly,8,no,06-Aug,hygiene,sometimes,31-40,english,7,half yearly,twice,never,never,no,excellent,weekly,J,3.430052147
easy,learner,highly,8,not always,06-Aug,bad,never,21-30,hindi,6,half yearly,never,never,never,no,can be improved,weekly,F,7.515132638
easy,learner,highly,10,not always,06-Aug,better,sometimes,21-30,telugu,7,half yearly,twice,never,always,no,good,monthly,E,1.515249877
moderate,Assessment,highly,6,no,06-Aug,hygiene,sometimes,31-40,telugu,5,annually,twice,twice,never,no,excellent,never,K,1.74537133
easy,knowledge,moderate,8,not always,02-Mar,hygiene,yes,21-30,english,6,annually,once,once,always,yes,good,never,B,3.735611987
moderate,knowledge,highly,8,no,06-Aug,better,never,41-50,hindi,7,half yearly,never,twice,never,yes,good,never,J,7.533011138
hard,knowledge,not,6,no,02-Mar,better,yes,21-30,hindi,6,Quarterly,once,twice,always,no,can be improved,monthly,J,2.521563753
hard,Assessment,moderate,8,no,06-Aug,better,yes,21-30,english,6,annually,twice,once,sometimes,no,good,monthly,A,7.274308445
easy,Assessment,not,8,not always,06-Aug,better,never,21-30,hindi,7,Quarterly,twice,once,never,yes,can be improved,weekly,H,1.202816344
easy,Assessment,moderate,6,no,04-May,hygiene,sometimes,21-30,hindi,7,annually,twice,once,never,no,good,never,H,1.551567598
easy,learner,moderate,10,yes,06-Aug,bad,yes,41-50,telugu,5,annually,never,never,never,yes,can be improved,never,K,3.561975103
hard,knowledge,moderate,8,yes,06-Aug,better,sometimes,21-30,hindi,5,half yearly,never,once,sometimes,no,good,weekly,G,4.873200834
easy,knowledge,highly,8,no,02-Mar,better,never,21-30,telugu,7,annually,twice,never,never,no,good,never,J,9.275784629
hard,Assessment,moderate,10,not always,04-May,bad,sometimes,41-50,hindi,6,half yearly,once,never,always,yes,good,never,F,4.947238528
easy,Assessment,moderate,10,no,02-Mar,better,never,21-30,hindi,6,annually,never,twice,sometimes,yes,excellent,never,K,1.537705083
easy,Assessment,moderate,6,not always,04-May,bad,never,41-50,hindi,6,annually,twice,never,sometimes,no,excellent,monthly,K,6.313917316
easy,Assessment,not,10,yes,02-Mar,bad,yes,31-40,telugu,5,half yearly,never,never,never,yes,good,weekly,C,3.506255867
